DocTitle,IndexerTime
2130456967.xml,5
1432934927.xml,6
766473307.xml,5
772547317.xml,8
980396857.xml,7
1502169967.xml,6
1784463737.xml,7
1778596807.xml,9
1208612317.xml,6
63089567.xml,7
1156898927.xml,8
2138170227.xml,8
1218639277.xml,6
1248804677.xml,8
1195258597.xml,7
1732122587.xml,6
681350807.xml,7
1892027607.xml,6
1682175297.xml,13
1093772447.xml,8
1509984717.xml,5
1958134557.xml,7
121373697.xml,23
388734067.xml,10
188467507.xml,9
338745657.xml,14
474565857.xml,7
165358367.xml,7
1187723857.xml,7
1544935177.xml,6
1683124867.xml,8
1732225497.xml,7
312228477.xml,6
1427442647.xml,5
1098852607.xml,11
1621085687.xml,7
811746577.xml,8
806448887.xml,7
367834587.xml,7
212506637.xml,8
1280661737.xml,7
1412714687.xml,6
24245087.xml,5
2009680947.xml,6
1670867437.xml,8
1364461347.xml,6
942903097.xml,7
817290897.xml,7
1732491787.xml,8
1449299557.xml,6
1941496536.xml,6
1926759596.xml,10
1495752326.xml,6
2124962856.xml,10
1840515356.xml,12
547613896.xml,11
1542174206.xml,6
2140119196.xml,13
154438656.xml,5
2009211446.xml,7
155928326.xml,7
1053922556.xml,7
